Country,Dish,Ingredients,Quantities,Facets,Description
Afghanistan,Kabuli Palaw,Basmati rice; Lamb; Carrots; Raisins; Cumin; Cardamom; Cloves; Onion; Oil; Sugar,500g; 500g; 2; 100g; 1 tsp; 1 tsp; 1/2 tsp; 1; 100ml; 2 tbsp,LAMB; MAIN; RICE,"The national dish of Afghanistan: fragrant basmati rice slow-cooked with lamb, sweet carrots and raisins, traditionally served at weddings."
Afghanistan,Mantu,Pasta wrappers; Ground beef; Onion; Yogurt; Garlic; Dried mint; Turmeric; Black pepper; Split peas; Coriander,30; 500g; 3; 200g; 3 cloves; 1 tbsp; 1/2 tsp; 1 tsp; 50g; 1 tsp,BEEF; MAIN,"Afghan steamed dumplings of spiced ground beef and onion, topped with yogurt and a tomato split-pea sauce."
Afghanistan,Bolani,Flour; Potatoes; Leeks; Cilantro; Green chili; Black pepper; Salt; Oil; Water; Garlic,500g; 300g; 200g; 1/2 cup; 1; 1/2 tsp; 1 tsp; 50ml; 200ml; 2 cloves,BREADS; MAIN; VEGAN; VEGETARIAN,"Thin Afghan flatbread stuffed with seasoned potatoes or leeks, pan-fried until golden."
Albania,Tavë Kosi,Lamb; Yogurt; Rice; Eggs; Butter; Flour; Garlic; Oregano; Black pepper; Salt,600g; 500g; 100g; 3; 50g; 2 tbsp; 2 cloves; 1 tsp; 1/2 tsp; 1 tsp,LAMB; MAIN,Albania's beloved baked lamb casserole smothered in a creamy yogurt and egg custard sauce.
Albania,Byrek,Phyllo dough; Spinach; Feta cheese; Eggs; Onion; Olive oil; Black pepper; Salt; Butter; Milk,500g; 400g; 200g; 2; 1; 100ml; 1/2 tsp; 1/2 tsp; 50g; 50ml,BREADS; MAIN; VEGETARIAN,Flaky Albanian phyllo pastry filled with spinach and feta cheese.
Albania,Speca me Gjizë,Bell peppers; Curd cheese; Tomatoes; Garlic; Olive oil; Black pepper; Chili flakes; Parsley; Salt; Onion,6; 300g; 2; 3 cloves; 50ml; 1/2 tsp; 1/2 tsp; 1 tbsp; 1 tsp; 1,MAIN; VEGETARIAN,"Roasted bell peppers stuffed with soft white curd cheese, a refreshing Albanian summer dish."
Algeria,Couscous,Couscous; Lamb; Chickpeas; Carrots; Zucchini; Ras el Hanout; Cinnamon; Tomato paste; Onion; Saffron,500g; 500g; 200g; 2; 2; 1 tbsp; 1/2 tsp; 2 tbsp; 1; pinch,LAMB; MAIN,North Africa's iconic semolina grain steamed over a rich broth of lamb or vegetables.
Algeria,Chakhchoukha,Flatbread; Lamb; Chickpeas; Tomato puree; Ras el Hanout; Garlic; Onion; Harissa; Paprika; Oil,300g; 500g; 100g; 200ml; 1 tbsp; 4 cloves; 2; 1 tsp; 1 tsp; 50ml,LAMB; MAIN,An Algerian celebration dish of torn flatbread drenched in a slow-cooked lamb and chickpea stew.
Algeria,Rechta,Noodles; Chicken; Turnips; Chickpeas; Cinnamon; Black pepper; Onion; Butter; Oil; Salt,500g; 1kg; 300g; 100g; 1 tsp; 1/2 tsp; 1; 50g; 2 tbsp; 1 tsp,MAIN; PASTA; POULTRY,Algerian hand-rolled noodles in a delicate chicken and turnip broth.
Andorra,Escudella,White beans; Beef; Pork; Chicken; Cabbage; Potatoes; Pasta shells; Garlic; Parsley; Saffron,200g; 200g; 200g; 200g; 1/2; 2; 100g; 2 cloves; 1 tbsp; pinch,BEEF; MAIN; PORK; POULTRY,"A hearty Andorran one-pot stew of various meats, vegetables and pasta shells."
Andorra,Trinxat,Cabbage; Potatoes; Bacon; Garlic; Olive oil; Black pepper; Salt,1 small; 500g; 150g; 3 cloves; 3 tbsp; 1/2 tsp; 1 tsp,MAIN; PORK,A rustic Andorran dish of mashed cabbage and potatoes pan-fried with bacon.
Andorra,Cunillo,Rabbit; Garlic; White wine; Thyme; Rosemary; Olive oil; Black pepper; Salt,1kg; 5 cloves; 200ml; 2 sprigs; 1 sprig; 50ml; 1/2 tsp; 1 tsp,MAIN; WHITE_MEAT,"Slow-braised rabbit in white wine with rosemary and thyme, a classic Andorran mountain dish."
Angola,Moamba de Galinha,Chicken; Palm butter; Garlic; Onion; Chili pepper; Okra; Squash; Lemon juice; Salt; Water,1kg; 200g; 4 cloves; 1; 1; 10; 200g; 1 tbsp; 1 tsp; 500ml,MAIN; POULTRY,Angola's signature chicken stew cooked in palm butter with okra and chili.
Angola,Calulu,Dried fish; Fresh fish; Sweet potato leaves; Okra; Tomatoes; Onion; Palm oil; Garlic; Salt,300g; 300g; 200g; 10; 3; 1; 50ml; 2 cloves; 1 tsp,LEAN_FISH; MAIN; SOUPS,An Angolan fisherman's stew of dried and fresh fish with sweet potato leaves and okra in palm oil.
Angola,Funge,Cassava flour; Water; Salt,500g; 1L; 1 tsp,MAIN; VEGAN; VEGETARIAN,A smooth Angolan cassava flour porridge served alongside stews.
Antigua and Barbuda,Fungee,Cornmeal; Okra; Water; Salt; Butter,250g; 6; 500ml; 1 tsp; 1 tbsp,MAIN; VEGETARIAN,"Antigua's national side dish of boiled cornmeal cooked with okra, paired with pepperpot."
Antigua and Barbuda,Pepperpot,Beef; Salt pork; Spinach; Eggplant; Squash; Thyme; Chives; Garlic; Scotch bonnet; Cinnamon,500g; 200g; 200g; 1; 200g; 3 sprigs; 2 tbsp; 2 cloves; 1; 1/2 tsp,BEEF; MAIN; PORK; SOUPS,"A rich Antiguan stew of beef and pork simmered with cassareep syrup, rooted in Amerindian cooking."
Antigua and Barbuda,Ducana,Sweet potato; Coconut; Sugar; Flour; Raisins; Cinnamon; Nutmeg; Vanilla; Salt,500g; 200g; 100g; 100g; 50g; 1 tsp; 1/2 tsp; 1 tsp; 1/2 tsp,DESSERTS; VEGAN; VEGETARIAN,Sweet potato dumplings from Antigua steamed in banana leaves with coconut and spices.
Argentina,Asado,Beef ribs; Chorizo; Coarse salt; Chimichurri; Garlic; Dried oregano; Chili flakes; Parsley; Olive oil; Vinegar,2kg; 4; 3 tbsp; 100ml; 4 cloves; 1 tbsp; 1 tsp; 1/2 cup; 50ml; 2 tbsp,BEEF; GRILLED; MAIN; PORK,Argentina's iconic open-fire barbecue of beef ribs and chorizo over wood coals.
Argentina,Empanadas,Pastry discs; Ground beef; Onion; Cumin; Paprika; Hard-boiled eggs; Green olives; Green onion; Fat/Lard; Salt,12; 500g; 2; 1 tsp; 1 tbsp; 2; 50g; 2; 50g; 1 tsp,BEEF; PORK; STARTERS,"Golden baked or fried pastry parcels stuffed with spiced ground beef, olives and eggs."
Argentina,Milanesa,Beef steak; Breadcrumbs; Eggs; Garlic; Parsley; Salt; Black pepper; Flour; Lemon; Oil,4; 200g; 2; 2 cloves; 2 tbsp; 1 tsp; 1/2 tsp; 50g; 1; 200ml,BEEF; FRIED; MAIN,"Thin breaded beef escalopes pan-fried until crisp, Argentina's Italian-influenced comfort food."
Armenia,Khorovats,Pork loin; Onion; Basil; Parsley; Black pepper; Salt; Paprika; Oil,1kg; 2; 1 tbsp; 1 tbsp; 1 tsp; 1 tsp; 1 tsp; 2 tbsp,GRILLED; MAIN; PORK,Armenia's national barbecue of pork or lamb marinated in herbs and grilled over wood.
Armenia,Dolma,Grape leaves; Ground beef; Rice; Onion; Tomato paste; Dried mint; Cilantro; Cumin; Black pepper; Salt,30; 500g; 100g; 1; 2 tbsp; 1 tsp; 2 tbsp; 1/2 tsp; 1/2 tsp; 1 tsp,BEEF; MAIN,"Grape leaves stuffed with herbed rice and ground meat, shared across the Middle East and Balkans."
Armenia,Ghapama,Pumpkin; Rice; Honey; Cinnamon; Dried apricots; Raisins; Almonds; Butter; Cloves; Salt,1 large; 200g; 3 tbsp; 1 tsp; 50g; 50g; 30g; 50g; 1/4 tsp; pinch,MAIN; VEGETARIAN,"A festive Armenian stuffed pumpkin filled with rice, honey, dried fruits and nuts."
Australia,Meat Pie,Shortcrust pastry; Puff pastry; Ground beef; Beef gravy; Onion; Worcestershire sauce; Garlic; Thyme; Egg; Salt,250g; 250g; 500g; 250ml; 1; 1 tbsp; 1 clove; 1/2 tsp; 1; 1 tsp,BEEF; BREADS; MAIN,A quintessential Australian bake of minced beef in rich gravy encased in shortcrust pastry.
Australia,Roast Lamb,Leg of lamb; Garlic; Rosemary; Olive oil; Salt; Black pepper; Lemon juice,2kg; 5 cloves; 4 sprigs; 3 tbsp; 2 tsp; 1 tsp; 2 tbsp,LAMB; MAIN,A classic Australian Sunday roast of leg of lamb studded with garlic and rosemary.
Australia,Barramundi,Barramundi fillet; Lemon; Garlic; Parsley; Butter; Salt; Black pepper; Olive oil,2; 1; 2 cloves; 1 tbsp; 30g; 1/2 tsp; 1/2 tsp; 1 tbsp,LEAN_FISH; MAIN,"Pan-seared barramundi fillet with lemon and butter, showcasing Australia's prized native fish."
Austria,Wiener Schnitzel,Veal cutlets; Flour; Eggs; Breadcrumbs; Butter; Salt; Lemon; Parsley,4; 100g; 2; 150g; 100g; 1 tsp; 1; 1 sprig,BEEF; FRIED; MAIN,"Austria's most famous dish: a thin veal cutlet pounded, breaded and fried until golden."
Austria,Tafelspitz,Beef brisket; Carrots; Leek; Celery root; Peppercorns; Bay leaf; Chives; Salt; Horseradish,1.5kg; 2; 1; 100g; 5; 1; 1 bunch; 2 tsp; 50g,BEEF; MAIN,A Viennese classic of prime beef brisket simmered in broth with root vegetables and apple horseradish.
Austria,Apfelstrudel,Phyllo dough; Apples; Breadcrumbs; Cinnamon; Sugar; Raisins; Lemon juice; Butter; Rum; Vanilla,4 sheets; 1kg; 100g; 1 tsp; 100g; 50g; 1 tbsp; 100g; 1 tbsp; 1 tsp,BREADS; DESSERTS; VEGETARIAN,Wafer-thin phyllo pastry wrapped around cinnamon-spiced apples and raisins.
