Category,Name,Ingredients,Quantities,Facets,Description
Stock,Chicken Stock,Chicken carcass; Carrots; Celery; Onion; Garlic; Bay leaf; Thyme; Parsley; Peppercorns; Water,1kg; 2; 2 stalks; 1; 3 cloves; 2; 2 sprigs; 4 sprigs; 5g; 3l,CONDIMENTS; POULTRY,"A clear, flavourful broth of simmered chicken bones and aromatic vegetables, the foundation for soups and sauces."
Stock,Beef Stock,Beef bones; Carrots; Celery; Onion; Garlic; Bay leaf; Thyme; Peppercorns; Water; Salt,1kg; 2; 2 stalks; 1; 4 cloves; 2; 3 sprigs; 5g; 3l; 5g,BEEF; CONDIMENTS,"A rich brown broth of roasted beef bones and root vegetables, the base of French brown sauces."
Stock,Vegetable Stock,Carrots; Celery; Onion; Leek; Garlic; Bay leaf; Thyme; Parsley; Peppercorns; Water,3; 3 stalks; 2; 1; 4 cloves; 2; 3 sprigs; 1 bunch; 5g; 2l,CONDIMENTS,"A light, versatile vegan broth of simmered vegetables and herbs."
Stock,Fish Stock,Fish bones; White wine; Shallots; Leek; Bay leaf; Thyme; Parsley; Peppercorns; Water,500g; 200ml; 2; 1; 2; 2 sprigs; 4 sprigs; 5g; 1l,CONDIMENTS,"A delicate broth of fish bones and white wine, used in seafood sauces and bisques."
Stock,Dashi Stock,Kombu; Dried bonito flakes; Water,30g; 30g; 1l,CONDIMENTS,Japanese kombu and bonito broth — the clean umami backbone of Japanese cuisine.
Stock,Veal Stock,Veal bones; Carrots; Onion; Celery; Tomato paste; Garlic; Bay leaf; Thyme; Water,1kg; 2; 1; 2 stalks; 30g; 4 cloves; 2; 3 sprigs; 3l,BEEF; CONDIMENTS,"A rich, gelatinous broth of roasted veal bones, the starting point for classical French sauces."
Sauce,Tomato Sauce,Tomatoes; Garlic; Onion; Olive oil; Basil; Sugar; Salt; Black pepper,1kg; 4 cloves; 1; 50ml; 1 bunch; 5g; 5g; 3g,CONDIMENTS,"A versatile Italian-style cooked tomato sauce of garlic, onion and fresh basil."
Sauce,Béchamel Sauce,Butter; Flour; Milk; Nutmeg; Salt; Black pepper,60g; 60g; 600ml; 1g; 5g; 1g,CONDIMENTS,"One of the five French mother sauces — a silky white sauce of butter, flour and milk."
Sauce,Hollandaise Sauce,Butter; Egg yolks; Lemon juice; White wine vinegar; Salt; Cayenne pepper,200g; 3; 30ml; 15ml; 3g; 1g,CONDIMENTS,"A French emulsion of egg yolks and butter, rich and tangy, served with eggs Benedict."
Sauce,Chimichurri,Parsley; Garlic; Red wine vinegar; Olive oil; Chili flakes; Oregano; Salt,1 bunch; 4 cloves; 50ml; 100ml; 5g; 5g; 5g,CONDIMENTS,"An Argentinian herb sauce of parsley, garlic, vinegar and olive oil for grilled meats."
Sauce,Pesto,Basil; Pine nuts; Parmesan; Garlic; Olive oil; Salt,2 bunches; 50g; 50g; 2 cloves; 100ml; 3g,CONDIMENTS,"A Ligurian sauce of fresh basil, pine nuts, Parmesan, garlic and olive oil."
Sauce,Tzatziki,Yogurt; Cucumber; Garlic; Dill; Lemon juice; Olive oil; Salt,400g; 1; 3 cloves; 10g; 15ml; 30ml; 3g,CONDIMENTS,"A Greek yogurt dip with grated cucumber, garlic and dill."
